Date,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
12/1/2021,UAE,"742,041",,"2,147",,"736,939",,"2,955",,"73,768",213,"101,356,006","10,076,061","10,059,090",Asia,14,"4,685",0,,,294
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Tunisia,"717,572",,"25,373",,"691,031",,"1,168",58,"59,831","2,116","3,177,078","264,906","11,993,220",Africa,17,473,4,,,97
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Bulgaria,"695,057",,"28,453",,"561,485",,"105,119",717,"101,106","4,139","6,576,558","956,659","6,874,506",Europe,10,242,1,,,"15,291"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Slovakia,"680,084",,"14,418",,"555,448",,"110,218",585,"124,480","2,639","4,585,219","839,264","5,463,379",Europe,8,379,1,,,"20,174"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Lebanon,"670,656",,"8,725",,"633,299",,"28,632",186,"98,884","1,286","4,795,578","707,078","6,782,245",Asia,10,777,1,,,"4,222"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Belarus,"654,718",,"5,081",,"641,570",,"8,067",,"69,320",538,"10,386,520","1,099,693","9,444,931",Europe,14,"1,859",1,,,854
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Guatemala,"617,984",,"15,943",,"600,621",,"1,420",5,"33,617",867,"3,120,035","169,723","18,383,054",North America,30,"1,153",6,,,77
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Croatia,"608,205",,"10,899",,"567,869",,"29,437",314,"149,455","2,678","3,449,298","847,601","4,069,482",Europe,7,373,1,,,"7,234"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Azerbaijan,"588,318",,"7,856",,"554,749",,"25,713",,"57,295",765,"5,539,284","539,459","10,268,225",Asia,17,"1,307",2,,,"2,504"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Ireland,"570,115",,"5,652",,"441,593",,"122,870",122,"113,667","1,127","8,983,297","1,791,052","5,015,655",Europe,9,887,1,,,"24,497"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Costa Rica,"566,839",,"7,299",,"548,020",,"11,520",83,"109,857","1,415","2,715,029","526,188","5,159,803",North America,9,707,2,,,"2,233"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Sri Lanka,"563,989",,"14,346",,"529,662",,"19,981",,"26,183",666,"5,640,979","261,883","21,540,081",Asia,38,"1,501",4,,,928
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Saudi Arabia,"549,752",,"8,836",,"538,913",,"2,003",40,"15,452",248,"31,494,154","885,191","35,578,933",Asia,65,"4,027",1,,,56
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Bolivia,"537,559",,"19,171",,"492,921",,"25,467",220,"45,182","1,611","2,593,083","217,947","11,897,757",South America,22,621,5,,,"2,140"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Ecuador,"526,870",,"33,250",,"443,880",,"49,740",759,"29,236","1,845","2,013,368","111,723","18,021,114",South America,34,542,9,,,"2,760"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Myanmar,"522,402",,"19,104",,"497,249",,"6,049",,"9,511",348,"5,583,908","101,664","54,924,965",Asia,105,"2,875",10,,,110
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Denmark,"487,401",,"2,895",,"403,118",,"81,388",60,"83,731",497,"93,815,873","16,116,747","5,821,018",Europe,12,"2,011",0,,,"13,982"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Panama,"477,742",,"7,365",,"467,826",,"2,551",20,"108,317","1,670","4,236,620","960,552","4,410,610",North America,9,599,1,,,578
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Lithuania,"470,298",,"6,737",,"435,768",,"27,793",127,"176,235","2,525","6,143,115","2,302,015","2,668,582",Europe,6,396,0,,,"10,415"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Paraguay,"463,058",,"16,472",,"445,793",,793,38,"63,815","2,270","1,948,511","268,530","7,256,214",South America,16,441,4,,,109
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,S. Korea,"452,350","5,120","3,658",34,"398,323","2,253","50,369",723,"8,812",71,"15,804,065","307,882","51,331,529",Asia,113,"14,033",3,100,0.7,981
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Venezuela,"431,296",,"5,144",,"418,472",,"7,680",681,"15,228",182,"3,359,014","118,601","28,322,074",South America,66,"5,506",8,,,271
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Palestine,"430,443",,"4,535",,"422,781",,"3,127",42,"81,700",861,"2,736,577","519,413","5,268,600",Asia,12,"1,162",2,,,594
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Slovenia,"420,898",,"5,224",,"378,536",,"37,138",190,"202,419","2,512","1,936,323","931,219","2,079,342",Europe,5,398,1,,,"17,860"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Kuwait,"413,362",,"2,465",,"410,627",,270,,"94,814",565,"5,330,503","1,222,677","4,359,700",Asia,11,"1,769",1,,,62
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Dominican Republic,"407,251",,"4,204",,"399,896",,"3,151",186,"37,018",382,"2,458,249","223,447","11,001,505",North America,27,"2,617",4,,,286
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Uruguay,"399,695",,"6,131",,"391,489",,"2,075",12,"114,502","1,756","4,109,262","1,177,190","3,490,737",South America,9,569,1,,,594
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Mongolia,"382,082",554,"2,005",2,"313,256",,"66,821",192,"113,960",598,"4,030,048","1,202,002","3,352,781",Asia,9,"1,672",1,165,0.6,"19,930"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Honduras,"377,888",,"10,403",,"120,308",,"247,177",59,"37,315","1,027","1,121,382","110,733","10,126,888",North America,27,973,9,,,"24,408"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Libya,"372,636",,"5,456",,"345,986",,"21,194",,"53,210",779,"1,908,835","272,567","7,003,170",Africa,19,"1,284",4,,,"3,026"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Ethiopia,"371,536",,"6,755",,"349,037",,"15,744",233,"3,123",57,"3,871,923","32,543","118,977,453",Africa,320,"17,613",31,,,132
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Moldova,"363,774",,"9,119",,"363,774",,"-9,119",206,"90,475","2,268","2,210,968","549,895","4,020,713",Europe,11,441,2,,,"-2,268.01"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Egypt,"358,578",,"20,474",,"297,536",,"40,568",90,"3,413",195,"3,693,367","35,156","105,056,935",Africa,293,"5,131",28,,,386
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Armenia,"339,020",502,"7,610",43,"317,765",590,"13,645",,"114,107","2,561","2,373,959","799,025","2,971,068",Asia,9,390,1,169,14,"4,593"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Oman,"304,554",,"4,113",,"300,005",,436,4,"57,575",778,"25,000,000","4,726,190","5,289,673",Asia,17,"1,286",0,,,82
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Bahrain,"277,690",,"1,394",,"275,953",,343,2,"155,582",781,"7,401,706","4,146,981","1,784,842",Asia,6,"1,280",0,,,192
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Bosnia and Herzegovina,"275,065",,"12,586",,"192,218",,"70,261",,"84,584","3,870","1,397,409","429,711","3,251,974",Europe,12,258,2,,,"21,606"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Norway,"267,843",,"1,054",,"88,952",,"177,837",59,"48,867",192,"8,592,158","1,567,596","5,481,106",Europe,20,"5,200",1,,,"32,445"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Singapore,"264,725",,718,,"251,533",,"12,474",65,"44,752",121,"21,098,774","3,566,802","5,915,319",Asia,22,"8,239",0,,,"2,109"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Kenya,"255,088",,"5,335",,"248,318",,"1,435",20,"4,601",96,"2,835,065","51,136","55,441,352",Africa,217,"10,392",20,,,26
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Latvia,"253,659",,"4,179",,"236,997",,"12,483",171,"136,617","2,251","5,334,912","2,873,307","1,856,715",Europe,7,444,0,,,"6,723"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Qatar,"243,447",,611,,"240,791",,"2,045",15,"86,704",218,"2,993,286","1,066,059","2,807,805",Asia,12,"4,595",1,,,728
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Estonia,"222,584",,"1,798",,"202,174",,"18,612",35,"167,634","1,354","2,334,155","1,757,917","1,327,796",Europe,6,738,1,,,"14,017"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,North Macedonia,"215,585",,"7,581",,"200,003",,"8,001",,"103,485","3,639","1,471,420","706,309","2,083,253",Europe,10,275,1,,,"3,841"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Nigeria,"214,218",,"2,977",,"207,304",,"3,937",11,"1,004",14,"3,479,682","16,310","213,341,137",Africa,996,"71,663",61,,,18
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Australia,"211,654","1,415","2,011",5,"192,746",,"16,897",71,"8,166",78,"48,067,879","1,854,645","25,917,562",Australia/Oceania,122,"12,888",1,55,0.2,652
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Algeria,"210,531",,"6,071",,"144,450",,"60,010",14,"4,682",135,"230,861","5,134","44,968,076",Africa,214,"7,407",195,,,"1,335"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Zambia,"210,169",,"3,667",,"206,406",,96,7,"10,998",192,"2,721,665","142,426","19,109,375",Africa,91,"5,211",7,,,5
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Albania,"199,945",,"3,096",,"189,784",,"7,065",23,"69,586","1,077","1,394,136","485,194","2,873,357",Europe,14,928,2,,,"2,459"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Botswana,"195,068",,"2,418",,"192,048",,602,1,"80,654","1,000","1,869,359","772,912","2,418,592",Africa,12,"1,000",1,,,249
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Uzbekistan,"193,424",216,"1,406",4,"190,028",169,"1,990",23,"5,663",41,"1,377,915","40,344","34,153,753",Asia,177,"24,291",25,6,0.1,58
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Finland,"186,538",,"1,335",,"46,000",,"139,203",51,"33,593",240,"7,896,869","1,422,121","5,552,881",Europe,30,"4,159",1,,,"25,069"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Kyrgyzstan,"183,404",53,"2,749",3,"178,332",102,"2,323",131,"27,472",412,"1,836,381","275,069","6,676,068",Asia,36,"2,429",4,8,0.4,348
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Montenegro,"157,376",,"2,307",,"152,495",,"2,574",60,"250,528","3,673","906,988","1,443,839","628,178",Europe,4,272,1,,,"4,098"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Afghanistan,"157,289",,"7,308",,"140,549",,"9,432","1,124","3,916",182,"792,156","19,723","40,164,434",Asia,255,"5,496",51,,,235
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Mozambique,"151,548",,"1,941",,"149,514",,93,8,"4,665",60,"977,894","30,099","32,489,229",Africa,214,"16,738",33,,,3
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Zimbabwe,"134,625",,"4,707",,"128,747",,"1,171",12,"8,875",310,"1,593,325","105,043","15,168,267",Africa,113,"3,222",10,,,77
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Cyprus,"134,473",,597,,"124,370",,"9,506",51,"110,244",489,"9,477,138","7,769,598","1,219,772",Asia,9,"2,043",0,,,"7,793"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Ghana,"130,920",,"1,209",,"129,042",,669,5,"4,093",38,"1,933,408","60,442","31,987,619",Africa,244,"26,458",17,,,21
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Namibia,"129,187",,"3,573",,"125,487",,127,2,"49,576","1,371","787,883","302,355","2,605,818",Africa,20,729,3,,,49
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Uganda,"127,512",,"3,252",,"97,537",,"26,723",115,"2,669",68,"1,958,401","40,992","47,775,449",Africa,375,"14,691",24,,,559
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Cambodia,"120,160",26,"2,944",4,"116,529",22,687,,"7,049",173,"2,719,826","159,562","17,045,531",Asia,142,"5,790",6,2,0.2,40
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,El Salvador,"119,803",,"3,776",,"102,982",,"13,045",336,"18,340",578,"1,440,742","220,552","6,532,435",North America,55,"1,730",5,,,"1,997"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Cameroon,"106,794",,"1,791",,"102,716",,"2,287",152,"3,887",65,"1,751,774","63,754","27,477,249",Africa,257,"15,342",16,,,83
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Rwanda,"100,349",,"1,342",,"45,522",,"53,485",1,"7,486",100,"3,480,201","259,624","13,404,774",Africa,134,"9,989",4,,,"3,990"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Maldives,"91,650",,250,,"89,774",,"1,626",23,"165,441",451,"1,751,178","3,161,114","553,975",Asia,6,"2,216",0,,,"2,935"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Jamaica,"91,249",,"2,392",,"62,642",,"26,215",11,"30,626",803,"672,626","225,757","2,979,425",North America,33,"1,246",4,,,"8,799"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Luxembourg,"89,181",,875,,"83,919",,"4,387",12,"139,270","1,366","3,688,070","5,759,487","640,347",Europe,7,732,0,,,"6,851"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Senegal,"73,987",,"1,885",,"72,091",,11,2,"4,261",109,"874,023","50,330","17,365,747",Africa,235,"9,213",20,,,0.6
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Laos,"73,738",,170,,"7,339",,"66,229",,"9,932",23,"788,302","106,175","7,424,555",Asia,101,"43,674",9,,,"8,920"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Trinidad and Tobago,"71,361",,"2,158",,"58,363",,"10,840",22,"50,759","1,535","445,676","317,006","1,405,890",North America,20,651,3,,,"7,710"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Angola,"65,168",,"1,733",,"63,214",,221,3,"1,900",51,"1,179,270","34,375","34,306,210",Africa,526,"19,796",29,,,6
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Malawi,"61,916",,"2,306",,"58,807",,803,67,"3,123",116,"442,053","22,296","19,826,625",Africa,320,"8,598",45,,,41
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Ivory Coast,"61,724",,704,,"60,739",,281,,"2,261",26,"1,151,972","42,198","27,298,982",Africa,442,"38,777",24,,,10
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,R?nion,"61,188",,384,,"57,781",,"3,023",18,"67,661",425,"1,347,378","1,489,909","904,336",Africa,15,"2,355",1,,,"3,343"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,DRC,"58,234",,"1,107",,"50,930",,"6,197",,624,12,"306,299","3,280","93,396,693",Africa,"1,604","84,369",305,,,66
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Guadeloupe,"55,147",,746,,"2,250",,"52,151",23,"137,791","1,864","551,264","1,377,399","400,221",North America,7,536,1,,,"130,306"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Fiji,"52,506",,696,,"51,037",,773,,"57,978",769,"460,369","508,347","905,619",Australia/Oceania,17,"1,301",2,,,854
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Suriname,"50,848",25,"1,167",1,"29,574",4,"20,107",8,"85,595","1,964","159,736","268,891","594,054",South America,12,509,4,42,2,"33,847"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Syria,"48,170",,"2,749",,"29,172",,"16,249",,"2,661",152,"103,566","5,722","18,099,930",Asia,376,"6,584",175,,,898
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Eswatini,"46,656",,"1,248",,"45,242",,166,10,"39,636","1,060","388,843","330,333","1,177,124",Africa,25,943,3,,,141
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,French Guiana,"46,014",,327,,"11,254",,"34,433",9,"148,627","1,056","451,659","1,458,880","309,593",South America,7,947,1,,,"111,220"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,French Polynesia,"45,609",,636,,N/A,N/A,N/A,7,"161,048","2,246",,,"283,202",Australia/Oceania,6,445,,,,"40,512"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Martinique,"45,501",,718,,104,,"44,679",1,"121,383","1,915","416,247","1,110,424","374,854",North America,8,522,1,,,"119,190"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Madagascar,"44,330",,967,,"42,915",,448,3,"1,545",34,"283,728","9,888","28,694,316",Africa,647,"29,674",101,,,16
